Symbol,Name
JKTYRE.NS,JK Tyre & Industries Ltd.
JMFINANCIL.NS,JM Financial Ltd.
JSWCEMENT.NS,JSW Cement Ltd.
JSWDULUX.NS,JSW Dulux Ltd.
JAINREC.NS,Jain Resource Recycling Ltd.
JPPOWER.NS,Jaiprakash Power Ventures Ltd.
J&KBANK.NS,Jammu & Kashmir Bank Ltd.
JINDALSAW.NS,Jindal Saw Ltd.
JUBLINGREA.NS,Jubilant Ingrevia Ltd.
JUBLPHARMA.NS,Jubilant Pharmova Ltd.
JWL.NS,Jupiter Wagons Ltd.
JYOTICNC.NS,Jyoti CNC Automation Ltd.
KAJARIACER.NS,Kajaria Ceramics Ltd.
KPIL.NS,Kalpataru Projects International Ltd.
KARURVYSYA.NS,Karur Vysya Bank Ltd.
KAYNES.NS,Kaynes Technology India Ltd.
KEC.NS,Kec International Ltd.
KFINTECH.NS,Kfin Technologies Ltd.
KIRLOSENG.NS,Kirloskar Oil Eng Ltd.
KIMS.NS,Krishna Institute of Medical Sciences Ltd.
LTFOODS.NS,LT Foods Ltd.
LATENTVIEW.NS,Latent View Analytics Ltd.
THELEELA.NS,Leela Palaces Hotels & Resorts Ltd.
LEMONTREE.NS,Lemon Tree Hotels Ltd.
MMTC.NS,MMTC Ltd.
MGL.NS,Mahanagar Gas Ltd.
MANAPPURAM.NS,Manappuram Finance Ltd.
MRPL.NS,Mangalore Refinery & Petrochemicals Ltd.
MEESHO.NS,Meesho Ltd.
MINDACORP.NS,Minda Corporation Ltd.
MSUMI.NS,Motherson Sumi Wiring India Ltd.
NATCOPHARM.NS,NATCO Pharma Ltd.
NBCC.NS,NBCC (India) Ltd.
NCC.NS,NCC Ltd.
NSLNISP.NS,NMDC Steel Ltd.
NH.NS,Narayana Hrudayalaya Ltd.
NAVA.NS,Nava Ltd.
NAVINFLUOR.NS,Navin Fluorine International Ltd.
NETWEB.NS,Netweb Technologies India Ltd.
NEULANDLAB.NS,Neuland Laboratories Ltd.
NEWGEN.NS,Newgen Software Technologies Ltd.
NIVABUPA.NS,Niva Bupa Health Insurance Company Ltd.
NUVAMA.NS,Nuvama Wealth Management Ltd.
NUVOCO.NS,Nuvoco Vistas Corporation Ltd.
OLAELEC.NS,Ola Electric Mobility Ltd.
OLECTRA.NS,Olectra Greentech Ltd.
ONESOURCE.NS,Onesource Specialty Pharma Ltd.
PCBL.NS,PCBL Chemical Ltd.
PGEL.NS,PG Electroplast Ltd.
PNBHOUSING.NS,PNB Housing Finance Ltd.
PTCIL.NS,PTC Industries Ltd.
PVRINOX.NS,PVR INOX Ltd.
PARADEEP.NS,Paradeep Phosphates Ltd.
PFIZER.NS,Pfizer Ltd.
PWL.NS,Physicswallah Ltd.
PINELABS.NS,Pine Labs Ltd.
PIRAMALFIN.NS,Piramal Finance Ltd.
PPLPHARMA.NS,Piramal Pharma Ltd.
