Symbol,Name
8058.T,Mitsubishi Corp.
8233.T,"Takashimaya Co., Ltd."
8252.T,"Marui Group Co., Ltd."
8253.T,"Credit Saison Co., Ltd."
8267.T,"Aeon Co., Ltd."
8304.T,"Aozora Bank, Ltd."
8306.T,"Mitsubishi UFJ Financial Group, Inc."
8308.T,"Resona Holdings, Inc."
8309.T,"Sumitomo Mitsui Trust Group, Inc."
8316.T,"Sumitomo Mitsui Financial Group, Inc."
8331.T,"The Chiba Bank, Ltd."
8354.T,"Fukuoka Financial Group, Inc."
8411.T,"Mizuho Financial Group, Inc."
8591.T,Orix Corp.
8601.T,Daiwa Securities Group Inc.
8604.T,"Nomura Holdings, Inc."
8630.T,"Sompo Holdings, Inc."
8697.T,"Japan Exchange Group, Inc."
8725.T,"MS&AD Insurance Group Holdings, Inc."
8750.T,"Daiichi Life Group, Inc."
8766.T,"Tokio Marine Holdings, Inc."
8795.T,"T&D Holdings, Inc."
8801.T,"Mitsui Fudosan Co., Ltd."
8802.T,"Mitsubishi Estate Co., Ltd."
8804.T,"Tokyo Tatemono Co., Ltd."
8830.T,"Sumitomo Realty & Development Co., Ltd."
9001.T,"Tobu Railway Co., Ltd."
9005.T,Tokyu Corp.
9007.T,"Odakyu Electric Railway Co., Ltd."
9008.T,Keio Corp.
9009.T,"Keisei Electric Railway Co., Ltd."
9020.T,East Japan Railway Co.
9021.T,West Japan Railway Co.
9022.T,"Central Japan Railway Co., Ltd."
9064.T,"Yamato Holdings Co., Ltd."
9101.T,Nippon Yusen K.K.
9104.T,"Mitsui O.S.K.Lines, Ltd."
9107.T,"Kawasaki Kisen Kaisha, Ltd."
9147.T,"Nippon Express Holdings, Inc."
9201.T,"Japan Airlines Co., Ltd."
9202.T,ANA Holdings Inc.
9432.T,"NTT, Inc."
9433.T,KDDI Corp.
9434.T,SoftBank Corp.
9501.T,"Tokyo Electric Power Company Holdings, Inc."
9502.T,"Chubu Electric Power Co., Inc."
9503.T,"The Kansai Electric Power Co., Inc."
9531.T,"Tokyo Gas Co., Ltd."
9532.T,"Osaka Gas Co., Ltd."
9602.T,"Toho Co., Ltd"
9735.T,"Secom Co., Ltd."
9766.T,Konami Group Corp.
9843.T,"Nitori Holdings Co., Ltd."
9983.T,"Fast Retailing Co., Ltd."
9984.T,SoftBank Group Corp.
